"D.sum"	"S.sum"	"Total"	"NrmD"	"NrmS"
"ref-genome"	57259	39965	97224	0.588938945116432	0.411061054883568
"X10Geo.G30i2.c6.R1"	34633	30404	65037	0.532512262250719	0.467487737749281
"X10bx2s"	20780	9288	30068	0.691100172941333	0.308899827058667
"X18Geo32i2.C4.R4"	39492	1834	41326	0.955621158592654	0.0443788414073465
"X2sx5m"	11381	10456	21837	0.521179649219215	0.478820350780785
"X51SPA.Nor.s6E.c3.R4"	36350	1164	37514	0.968971583941995	0.031028416058005
"X60Spa.NOrS12B.c2.R2"	36497	30232	66729	0.546943607726775	0.453056392273225
"A.A.1.R3"	27622	25978	53600	0.515335820895522	0.484664179104478
"A.D.1.R3"	38949	982	39931	0.975407578072174	0.0245924219278255
"A.D.2.R1"	28076	26281	54357	0.516511212907261	0.483488787092739
"A.D.2.R2"	37373	31930	69303	0.53926958428928	0.46073041571072
"A.D.2.R3"	36722	31530	68252	0.538035515442771	0.461964484557229
"A.E.1.R1"	28740	25942	54682	0.525584287334041	0.47441571266596
"A.E.1.R3"	32600	29179	61779	0.527687401867949	0.472312598132051
"A.E.2.R1"	33883	28159	62042	0.546130040940008	0.453869959059992
"ABR114.1"	36063	30538	66601	0.541478356180838	0.458521643819162
"ABR2"	37140	543	37683	0.985590319242099	0.0144096807579014
"ABR3"	32506	308	32814	0.99061376241848	0.00938623758152008
"ABR4"	20942	173	21115	0.991806772436656	0.00819322756334359
"ABR5.R4"	30358	27548	57906	0.524263461472041	0.475736538527959
"ABR5"	11696	211	11907	0.982279331485681	0.0177206685143193
"ABR6.R1"	28190	25897	54087	0.521197330227226	0.478802669772773
"ABR7.R3"	32039	28027	60066	0.533396597076549	0.466603402923451
"ABR7"	35898	462	36360	0.987293729372937	0.0127062706270627
"ABR9.2"	37726	583	38309	0.984781644000104	0.0152183559998956
"ADN1.1"	6836	4911	11747	0.581935813399166	0.418064186600834
"ADN1.2"	37326	32564	69890	0.534067820861354	0.465932179138646
"ADN1.3"	24399	22511	46910	0.520123641014709	0.479876358985291
"ADN1.4"	34842	28800	63642	0.547468652776468	0.452531347223532
"ADN1.5"	29249	27863	57112	0.51213405238829	0.48786594761171
"ADN1.6"	30889	28439	59328	0.520647923408846	0.479352076591154
"ADN1.7"	28558	27131	55689	0.512812225035465	0.487187774964535
"ADN1.8"	31067	29339	60406	0.514303214912426	0.485696785087574
"ADN2.1"	34134	30379	64513	0.529102661479082	0.470897338520918
"ADN2.2"	25647	22806	48453	0.529317070150455	0.470682929849545
"ADN2.3"	28977	25379	54356	0.533096622268011	0.466903377731989
"ADN2.4"	18934	17039	35973	0.526339198843577	0.473660801156423
"ADN2.5"	22450	20513	42963	0.522542652980472	0.477457347019528
"ADN2.6"	26258	23746	50004	0.525117990560755	0.474882009439245
"ADN3.1"	40247	33185	73432	0.548085303409958	0.451914696590042
"ADN3.2"	39065	33394	72459	0.53913247491685	0.46086752508315
"ADN3.3"	24467	22578	47045	0.520076522478478	0.479923477521522
"ADN3.4"	21240	17367	38607	0.550159297536716	0.449840702463284
"ADN3.5"	9509	8858	18367	0.517722001415582	0.482277998584418
"ADN3.6"	21290	19963	41253	0.516083678762757	0.483916321237243
"ADN3.7"	27719	25009	52728	0.525697921407981	0.474302078592019
"ALM.1"	39032	13502	52534	0.74298549510793	0.25701450489207
"ARN1018"	35117	378	35495	0.989350612762361	0.0106493872376391
"ARN1"	31115	344	31459	0.989065132394545	0.0109348676054547
"Ab1.2"	37608	8956	46564	0.807662571943991	0.192337428056009
"Ab1.4"	33668	425	34093	0.987534097908662	0.0124659020913384
"Ab3.3"	42110	27920	70030	0.601313722690276	0.398686277309724
"Ab3.5"	36068	732	36800	0.980108695652174	0.0198913043478261
"Abz1021.2"	36721	461	37182	0.987601527620892	0.0123984723791082
"Adi.10"	37977	445	38422	0.988418093800427	0.0115819061995732
"Adi.11"	34908	346	35254	0.990185510864015	0.00981448913598457
"Adi.13"	36142	407	36549	0.988864264412159	0.011135735587841
"Adi.14"	35483	322	35805	0.991006842619746	0.00899315738025415
"Adi.15"	35585	331	35916	0.990784051676133	0.0092159483238668
"Adi.16"	34368	292	34660	0.991575302942874	0.00842469705712637
"Adi.17"	34316	296	34612	0.991448052698486	0.00855194730151393
"Adi.18"	36114	415	36529	0.988639163404418	0.0113608365955816
"Adi.1"	21548	198	21746	0.990894877218799	0.00910512278120114
"Adi.2"	21888	275	22163	0.987591932500113	0.0124080674998872
"Adi.3"	18647	105	18752	0.994400597269625	0.00559940273037543
"Adi.6"	19324	158	19482	0.991889949697156	0.00811005030284365
"Adi.7"	21669	296	21965	0.986524015479171	0.0134759845208286
"Adi.8"	35179	376	35555	0.989424834763043	0.0105751652369568
"Adi.9"	36318	428	36746	0.988352473738638	0.0116475262613618
"Ald1.1"	28690	25289	53979	0.531502991904259	0.468497008095741
"Ald1.2"	27892	24294	52186	0.53447284712375	0.46552715287625
"Ald1.3"	12595	11731	24326	0.517758776617611	0.482241223382389
"Ald1.4"	28423	25169	53592	0.530359008807285	0.469640991192715
"Ald1.5"	30420	24839	55259	0.550498561320328	0.449501438679672
"Ald1.6"	30015	26691	56706	0.529309067823511	0.470690932176489
"Ald1.7"	28356	25798	54154	0.523617830631163	0.476382169368837
"Ald1.8"	28362	26031	54393	0.521427389553803	0.478572610446197
"Ald2.1"	25376	22787	48163	0.526877478562382	0.473122521437618
"Ald2.2"	33211	3497	36708	0.904734662743816	0.0952653372561839
"Ald2.3"	24719	19394	44113	0.560356357536327	0.439643642463673
"Ald2.4"	23348	19253	42601	0.548062252059811	0.451937747940189
"Ald2.5"	39215	4176	43391	0.903758843999908	0.0962411560000922
"Ald2.6"	32786	2382	35168	0.932267970882621	0.0677320291173794
"Ald2.7"	30654	920	31574	0.970862101729271	0.0291378982707291
"Ald2.8"	32415	752	33167	0.977326861036573	0.0226731389634275
"Ald3.1"	33515	2934	36449	0.919503964443469	0.080496035556531
"Ald3.2"	22393	17630	40023	0.559503285610774	0.440496714389226
"Ald3.3"	23911	17735	41646	0.574148777793786	0.425851222206214
"Ald3.4"	22112	18576	40688	0.543452615021628	0.456547384978372
"Ald3.5.2"	38171	18974	57145	0.667967451220579	0.332032548779421
"Ald3.5"	23184	19869	43053	0.538499059299004	0.461500940700996
"Ald3.6"	24721	19931	44652	0.5536370151393	0.446362984860701
"Ald3.7"	22160	18908	41068	0.539592870361352	0.460407129638648
"Ald3.8"	27576	19470	47046	0.586149725800281	0.413850274199719
"Ald4.1"	25186	19845	45031	0.55930359085963	0.44069640914037
"Ald4.2"	29181	24483	53664	0.543772361359571	0.456227638640429
"Ald4.3"	8893	8098	16991	0.523394738390913	0.476605261609087
"Ald4.5"	30745	27180	57925	0.530772550712128	0.469227449287872
"Ald4.6"	30974	27366	58340	0.530922180322249	0.469077819677751
"Ald4.7"	31492	28143	59635	0.528079148151253	0.471920851848747
"Ald4.8"	26325	22114	48439	0.543467041020665	0.456532958979335
