marg	1	2	3	4	5	6	7	8	9	10	11	12
A	dA1	dA2	dA3	dA4	dA5	dA6	dA7	dA8	dA9	dA10	dA11	dA12
B	dB1	dB2	dB3	dB4	dB5	dB6	dB7	dB8	dB9	dB10	dB11	dB12
C	dC1	dC2	dC3	dC4	dC5	dC6	dC7	dC8	dC9	dC10	dC11	dC12
D	dD1	dD2	dD3	dD4	dD5	dD6	dD7	dD8	dD9	dD10	dD11	dD12
E	dE1	dE2	dE3	dE4	dE5	dE6	dE7	dE8	dE9	dE10	dE11	dE12
F	dF1	dF2	dF3	dF4	dF5	dF6	dF7	dF8	dF9	dF10	dF11	dF12
G	dG1	dG2	dG3	dG4	dG5	dG6	dG7	dG8	dG9	dG10	dG11	dG12
H	dH1	dH2	dH3	dH4	dH5	dH6	dH7	dH8	dH9	dH10	dH11	dH12
												
PelliePlate1	1	2	3	4	5	6	7	8	9	10	11	12
A 	L89-01 	L89-02 	L89-03 	L5-11 	L5-04 	L5-01 	L25-31 	L25-32 	L25-37 	L55K 	L55P 	L55V
B 	I18-03 	I18-06 	I18-09 	I45-14 	I45-13 	I45-08 	AC71-01 	AC71-09 	AC71-17 	AC37-01 	AC37-10 	AC37-09
C 	AI01-22 	AI01-31 	AI01-33 	I50-10 	I50-17 	I50-13 	D2-34 	D2-04 	D2-02 	D3-16 	D3-06 	D3-15
D 	D8F 	D8K_1 	D8P_2 	Ha7-32 	Ha7-43 	Ha7-54 	Ha57-01 	Ha57-08 	Ha57-13 	Ha54J 	Ha54G 	Ha54T
E 	Ha26-53 	Ha26-45 	Ha26-35 	R33-01 	R33-07 	R33-13 	E7R13-03 	R13-11 	R13-01 	R77-01 	R77-14 	R77-16
F 	S15-02 	S15-26 	S15-31 	S27-01 	S27-10 	S27-21 	AC20-13 	AC20-01 	AC20-16 	AI21-08 	AI21-03 	AI21-17
G 	AI95-01 	AI95-02 	AI95-03 	AI65A-18 	AI65A-03 	AI65A-05 	I84-01 	I84-02 	I84-03 	H78-11 	H78-06 	H78-01
H 	H48-10 	H75-01 	ren- 	kling-Nicotra7 	kling-Nicotra1 	kling-Nicotra2 	bowk-3 	bowk-2 	bowk-1 	gross-3 	gross-2 	gross-1
												
PelliePlate2	1	2	3	4	5	6	7	8	9	10	11	12
A 	R82-02 	Ha58-20 	AI17-05 	L59-10 	L53-03 	L93-07 	S79-01 	AC61-19 	AC76-05 	AC90-01 	AI88-20 	AI64-14
B 	R82-03 	D9-31 	AI17-06 	L59-15 	L24-28 	L93-15 	S79-17 	AC63-06 	AC76-06 	AC90-02 	AIAireys1 	AI64-15
C 	R82-04 	D9-33 	AI22-25 	L59-16 	L24-29 	IAireys1 	S79-18 	AC63-07 	AC80-01 	AC90-03 	AIAireys2 	AI69-11
